Item,Trial Type,Timing,Text,Settings,Combination,Combo_Code,Severity,Interaction,"AdvShuffle List; Target Severity, Interaction",Shuffle
"27,36",interaction,7,,,"real,food",4,Severe,stroke,14,study1
"27,37",interaction,7,,,"real,food",4,Severe,vomiting,15,study1
0,instruct,user,<p> You will now be asked to recall as many of the interactions as you can. Please take as much time as you need. </p>,,,,,,,off
"2,3",interactionTest,user,,,"fake,fake",0,No interaction,,1,test1
"4,5",interactionTest,user,,,"fake,fake",0,No interaction,,2,test1
"6,7",interactionTest,user,,,"fake,fake",0,No interaction,,3,test1
"8,17",interactionTest,user,,,"fake,real",1,No interaction,,4,test1
"9,18",interactionTest,user,,,"fake,real",1,No interaction,,5,test1
"10,19",interactionTest,user,,,"fake,real",1,Mild,skin rash,6,test1
"20,21",interactionTest,user,,,"real,real",2,Mild,drowsiness,7,test1
"22,23",interactionTest,user,,,"real,real",2,Mild,upset stomach,8,test1
"24,25",interactionTest,user,,,"real,real",2,Mild,dry mouth,9,test1
"11,32",interactionTest,user,,,"fake,food",3,Mild,headache,10,test1
"12,33",interactionTest,user,,,"fake,food",3,Severe,heart attack,11,test1
"13,34",interactionTest,user,,,"fake,food",3,Severe,liver failure,12,test1
"26,35",interactionTest,user,,,"real,food",4,Severe,internal bleeding,13,test1
"27,36",interactionTest,user,,,"real,food",4,Severe,stroke,14,test1
"27,37",interactionTest,user,,,"real,food",4,Severe,vomiting,15,test1
0,instruct,user,<p> You will now see the same interactions again. Please try to remember as much information about them as you can. </p>,,,,,,,off
"2,3",interaction,7,,,"fake,fake",0,No interaction,,1,study2
"4,5",interaction,7,,,"fake,fake",0,No interaction,,2,study2
"6,7",interaction,7,,,"fake,fake",0,No interaction,,3,study2
"8,17",interaction,7,,,"fake,real",1,No interaction,,4,study2
"9,18",interaction,7,,,"fake,real",1,No interaction,,5,study2
"10,19",interaction,7,,,"fake,real",1,Mild,skin rash,6,study2
"20,21",interaction,7,,,"real,real",2,Mild,drowsiness,7,study2
"22,23",interaction,7,,,"real,real",2,Mild,upset stomach,8,study2
"24,25",interaction,7,,,"real,real",2,Mild,dry mouth,9,study2
"11,32",interaction,7,,,"fake,food",3,Mild,headache,10,study2
"12,33",interaction,7,,,"fake,food",3,Severe,heart attack,11,study2
"13,34",interaction,7,,,"fake,food",3,Severe,liver failure,12,study2
"26,35",interaction,7,,,"real,food",4,Severe,internal bleeding,13,study2
"27,36",interaction,7,,,"real,food",4,Severe,stroke,14,study2
"27,37",interaction,7,,,"real,food",4,Severe,vomiting,15,study2
0,instruct,user,<p> You will now be asked to recall as many of the interactions as you can. Please take as much time as you need. </p>,,,,,,,off
"2,3",interactionTest,user,,,"fake,fake",0,No interaction,,1,test2
"4,5",interactionTest,user,,,"fake,fake",0,No interaction,,2,test2
"6,7",interactionTest,user,,,"fake,fake",0,No interaction,,3,test2
"8,17",interactionTest,user,,,"fake,real",1,No interaction,,4,test2
"9,18",interactionTest,user,,,"fake,real",1,No interaction,,5,test2
"10,19",interactionTest,user,,,"fake,real",1,Mild,skin rash,6,test2
"20,21",interactionTest,user,,,"real,real",2,Mild,drowsiness,7,test2
"22,23",interactionTest,user,,,"real,real",2,Mild,upset stomach,8,test2
"24,25",interactionTest,user,,,"real,real",2,Mild,dry mouth,9,test2
"11,32",interactionTest,user,,,"fake,food",3,Mild,headache,10,test2
"12,33",interactionTest,user,,,"fake,food",3,Severe,heart attack,11,test2
"13,34",interactionTest,user,,,"fake,food",3,Severe,liver failure,12,test2
"26,35",interactionTest,user,,,"real,food",4,Severe,internal bleeding,13,test2
"27,36",interactionTest,user,,,"real,food",4,Severe,stroke,14,test2
"27,37",interactionTest,user,,,"real,food",4,Severe,vomiting,15,test2
0,instruct,user,<p> You will now see the same interactions again. Please try to remember as much information about them as you can. </p>,,,,,,,off
"2,3",interaction,7,,,"fake,fake",0,No interaction,,1,study3
"4,5",interaction,7,,,"fake,fake",0,No interaction,,2,study3
"6,7",interaction,7,,,"fake,fake",0,No interaction,,3,study3
"8,17",interaction,7,,,"fake,real",1,No interaction,,4,study3
"9,18",interaction,7,,,"fake,real",1,No interaction,,5,study3
"10,19",interaction,7,,,"fake,real",1,Mild,skin rash,6,study3
"20,21",interaction,7,,,"real,real",2,Mild,drowsiness,7,study3
"22,23",interaction,7,,,"real,real",2,Mild,upset stomach,8,study3
"24,25",interaction,7,,,"real,real",2,Mild,dry mouth,9,study3
"11,32",interaction,7,,,"fake,food",3,Mild,headache,10,study3
"12,33",interaction,7,,,"fake,food",3,Severe,heart attack,11,study3
"13,34",interaction,7,,,"fake,food",3,Severe,liver failure,12,study3
"26,35",interaction,7,,,"real,food",4,Severe,internal bleeding,13,study3
"27,36",interaction,7,,,"real,food",4,Severe,stroke,14,study3
"27,37",interaction,7,,,"real,food",4,Severe,vomiting,15,study3
0,instruct,user,<p> You will now be asked to recall as many of the interactions as you can. Please take as much time as you need. </p>,,,,,,,off
"2,3",interactionTest,user,,,"fake,fake",0,No interaction,,1,test3
"4,5",interactionTest,user,,,"fake,fake",0,No interaction,,2,test3
"6,7",interactionTest,user,,,"fake,fake",0,No interaction,,3,test3
"8,17",interactionTest,user,,,"fake,real",1,No interaction,,4,test3
"9,18",interactionTest,user,,,"fake,real",1,No interaction,,5,test3
"10,19",interactionTest,user,,,"fake,real",1,Mild,skin rash,6,test3
"20,21",interactionTest,user,,,"real,real",2,Mild,drowsiness,7,test3
"22,23",interactionTest,user,,,"real,real",2,Mild,upset stomach,8,test3
"24,25",interactionTest,user,,,"real,real",2,Mild,dry mouth,9,test3
"11,32",interactionTest,user,,,"fake,food",3,Mild,headache,10,test3
"12,33",interactionTest,user,,,"fake,food",3,Severe,heart attack,11,test3
"13,34",interactionTest,user,,,"fake,food",3,Severe,liver failure,12,test3
"26,35",interactionTest,user,,,"real,food",4,Severe,internal bleeding,13,test3
"27,36",interactionTest,user,,,"real,food",4,Severe,stroke,14,test3
"27,37",interactionTest,user,,,"real,food",4,Severe,vomiting,15,test3
0,instruct,user,"<p> Debrief: Some of the medications presented in this experiment do have real effects, but are not meant to serve as an informational or diagnostic tool. Some of the medications presented above are fictitious, and therefore do not actually have any effect. Please contact your own doctor if you have any questions regarding the side effects of your personal medication.</p> <p> The following medications you saw were fictitious: <br> Rolidal <br>
Lipal <br>
Pylacor <br>
Floragin <br>
Volapram <br>
Lypamol<br>
Promazatol<br>
Clavosec<br>
Avaridol<br>
Durapam <br>
Volexum <br>
Tretonin <br>
Dypraxa <br>
Doloxan <br>
Phedrazone <br>",,,,,,,off
